document,label
"I love this product!","positive"
"This is terrible.","negative"
"Amazing experience!","positive"
"Waste of money.","negative"
"Great value for the price.","positive"
"This product is bad!","negative"
"Terrible customer service.","negative"
"Disappointing quality.","negative"
"Not worth it.","negative"
"I am satisfied with my purchase.","positive"
"This is the best product ever!","positive"
"Absolutely horrible.","negative"
"Outstanding performance.","positive"
"I regret buying this.","negative"
"Highly recommended!","positive"
"I would never buy this again.","negative"
"Unbelievably good.","positive"
"Worst purchase ever.","negative"
"Impressed with the quality.","positive"
"Excellent customer support.","positive"
"This exceeded my expectations.","positive"
"I'm really disappointed","negative"
"Top-notch service.","positive"
"Don't waste your money on this.","negative"
"Superb quality and value.","positive"
"Huge letdown.","negative"
"Prompt delivery and good packaging.","positive"
"Awful experience.","negative"
"Thrilled with my purchase.","positive"
"I can't recommend this enough.","positive"
"Avoid at all costs.","negative"
"Very satisfied with the product.","positive"
"This is a rip-off.","negative"
"Fantastic product!","positive"
"Dreadful experience.","negative"
"Incredible value for the money.","positive"
"I won't buy from this brand again.","negative"
"Top-quality craftsmanship.","positive"
"Complete waste of money.","negative"
"Impressed with the results.","positive"
"Absolutely terrible.","negative"
"Brilliant customer service.","positive"
"Not as described.","negative"
"Exceptional quality.","positive"
"I've never been so disappointed.","negative"
